"brand","company","category","source_section","product_name_original","model_original","specifications_original","voltage_hertz_power_original","product_size_original","packing_information_original","loading_quantity_original","image_path","slug","source_page"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Toaster","2 Slice Plastic Toaster","JT62103A","Reheat/cefrost/cancel setting
Adjustable browning control
Automatically turn off
Miccle setting automaticaly
Detachable crumb tray
Cord storage
10010
10:00","220-240V~50/60Hz 750-900W","","","2484 pcs / 20' GP
5154 pcs / 40' GP
6042 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-jt62103a.webp","shanwu-jt62103a","61"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Toaster","2 Slice Plastic Toaster","JT62105","Reheat/defrost/cancel setting
Adjustable browning control
Automatically turnoff
Midde settingautomaticaly
Detachable crumb tray
Corc storage","220-240V~50/60Hz 750-900W","","","2796 pcs / 20' GP
5796 pcs / 40' GP
6798 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-jt62105.webp","shanwu-jt62105","61"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Toaster","4 Slice SS Toaster","JT62123","Reheat/defrost/cancel setting
Adjustable browning control
Automaltically turn off
Midid e setting automatically
Detachable crumb tray
Cord-storage","220-240V~50/60Hz 1560-1860W","","","2262 pcs / 20' GP
4684 pcs / 40' GP
5496 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-jt62123.webp","shanwu-jt62123","62"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Toaster","4 Slice Toaster","JT62133","Reheat/defrost/cancel setting
Adjustable browning control
Automatically turn off
Middle setting automatically
Detachable crumb tray
Cord-storage","220-240V~50/60Hz 1560-1860W","","","2262 pcs / 20' GP
4684 pcs / 40' GP
5496 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-jt62133.webp","shanwu-jt62133","62"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Toaster","4 Slice Toaster","JT62133A","Reheat/defrost/cancel setting
Adjustable browning control
Automaltically turn off
Micidle setting automatically
Detachable crumb tray
Cord-storage","220-240V~50/60Hz 1560-1860W","","","2262 pcs / 20' GP
4684 pcs / 40' GP
5496 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-jt62133a.webp","shanwu-jt62133a","62"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Toaster","4 Slice Toaster","JT62136","Reheat/defrost/cancel setting
Adjustable browning control
Automatically turn off
Middle setting automatically
Detachable crumb tray
Cord-storage","220-240V~50/60Hz 1560-1860W","","","2148 pcs / 20' GP
4458 pcs / 40' GP
5226 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-jt62136.webp","shanwu-jt62136","62"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Sandwich Maker","Sandwich maker","YSW85101","Non-stick coated plate
Rep aced sancwich/gril/waffle plate
Adjustable temperature control
Power and ready indicators
Cord slorage","220-240V~50/60Hz 700-830W","","","3000 pcs / 20' GP
6210 pcs / 40' GP
7284 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ysw85101.webp","shanwu-ysw85101","63"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Sandwich Maker","Sandwich maker","YSW85102","Non-stickcoated plate
Aojustab e temperature control
Power and roady indicators
Corc storage","220-240V~50/60Hz 700-830W","","","3000 pcs / 20' GP
6210 pcs / 40' GP
7284 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-ysw85102.webp","shanwu-ysw85102","63"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","5L Air Fryer","YJAF803EW","With viewing window
Plastic body with S/S decoration
Nonstick, dishwasher safe oil basket orrack
With overheat protection
80-200 degrees for different recipes
Easy-to read and aojustable dlisplay","220-240V~50/60Hz 1450W","","","576 pcs / 20' GP
1224 pcs / 40' GP
1428 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf803ew.webp","shanwu-yjaf803ew","65"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","5L Air Fryer","YJAF804EW","Color pane
with viewing window
Plastic bodly with S/S decoration
Detachab e non stick drawer
Frying plate
With overheat protection
90 min timer automatica ly shut off
40200 cogrecs fordifferont recipes","220-240V~50/60Hz 1500W","","","612 pcs / 20' GP
1512 pcs / 40' GP
1862 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf804ew.webp","shanwu-yjaf804ew","65"
